tweet_id,favorites,retweets,user_followers,user_favourites,date_time
678023323247357953,1739,340,9347680,147241,2015-12-19 01:25:31+00:00
678021115718029313,12340,5609,9348548,147245,2015-12-19 01:16:45+00:00
677961670166224897,3125,1521,9348548,147245,2015-12-18 21:20:32+00:00
677918531514703872,1217,364,9347680,147241,2015-12-18 18:29:07+00:00
677895101218201600,4385,1839,9348548,147245,2015-12-18 16:56:01+00:00
677716515794329600,2779,875,9348548,147245,2015-12-18 05:06:23+00:00
677700003327029250,3108,1286,9347680,147241,2015-12-18 04:00:46+00:00
677698403548192770,1115,286,9347680,147241,2015-12-18 03:54:25+00:00
677687604918272002,2251,754,9347680,147241,2015-12-18 03:11:30+00:00
677673981332312066,3030,1346,9348548,147245,2015-12-18 02:17:22+00:00
677662372920729601,1772,841,9348548,147245,2015-12-18 01:31:14+00:00
677644091929329666,1710,725,9347680,147241,2015-12-18 00:18:36+00:00
677573743309385728,1934,598,9348548,147245,2015-12-17 19:39:03+00:00
677565715327688705,1187,410,9347680,147241,2015-12-17 19:07:09+00:00
677557565589463040,2213,1014,9348548,147245,2015-12-17 18:34:46+00:00
677547928504967168,6307,3286,9348548,147245,2015-12-17 17:56:29+00:00
677530072887205888,965,204,9348548,147245,2015-12-17 16:45:31+00:00
677335745548390400,2755,1545,9348548,147245,2015-12-17 03:53:20+00:00
677334615166730240,1225,251,9348548,147245,2015-12-17 03:48:51+00:00
677331501395156992,987,207,9347680,147241,2015-12-17 03:36:28+00:00
677328882937298944,3323,1340,9348548,147245,2015-12-17 03:26:04+00:00
677314812125323265,1496,470,9347680,147241,2015-12-17 02:30:09+00:00
677301033169788928,1109,354,9348548,147245,2015-12-17 01:35:24+00:00
677269281705472000,1794,634,9347680,147241,2015-12-16 23:29:14+00:00
677228873407442944,3197,1462,9347680,147241,2015-12-16 20:48:40+00:00
677187300187611136,2480,809,9348548,147245,2015-12-16 18:03:28+00:00
676975532580409345,2520,949,9347682,147241,2015-12-16 04:01:59+00:00
676957860086095872,2021,719,9348550,147245,2015-12-16 02:51:45+00:00
